long_url;short_url
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0045&p_version=2;https://da.gd/2mUv9R
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0046&p_version=2;https://da.gd/EFsb7
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0047&p_version=2;https://da.gd/xmWY
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0048&p_version=2;https://da.gd/hLThy
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0049&p_version=2;https://da.gd/cVlrC
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0050&p_version=2;https://da.gd/9IlP4K
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0051&p_version=2;https://da.gd/eltobG
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0052&p_version=2;https://da.gd/1SmLZZ
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0053&p_version=2;https://da.gd/mMPam
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0054&p_version=2;https://da.gd/ElMk4t
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0055&p_version=2;https://da.gd/eeTtzQ
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0056&p_version=2;https://da.gd/XKdx4
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0057&p_version=2;https://da.gd/XQqJdN
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0058&p_version=2;https://da.gd/9HIpt
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0059&p_version=2;https://da.gd/vzp1j
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0060&p_version=2;https://da.gd/94AHqv
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0061&p_version=2;https://da.gd/35pLP
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0062&p_version=2;https://da.gd/XTY0
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0063&p_version=2;https://da.gd/8TBhIX
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0064&p_version=2;https://da.gd/LLpes
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0065&p_version=2;https://da.gd/FmOJq
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0066&p_version=2;https://da.gd/Qos1z
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0067&p_version=2;https://da.gd/hQzFO
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0068&p_version=2;https://da.gd/nW9tbz
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0069&p_version=2;https://da.gd/efFBS
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0070&p_version=2;https://da.gd/4rsfb
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0071&p_version=2;https://da.gd/2tDgPJ
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0072&p_version=2;https://da.gd/yHIsQ
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0073&p_version=2;https://da.gd/LAG50
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0074&p_version=2;https://da.gd/pvGWm
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0075&p_version=2;https://da.gd/c027C
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0076&p_version=2;https://da.gd/uPtDJM
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0077&p_version=2;https://da.gd/0bhjjt
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0078&p_version=2;https://da.gd/7EpKS
https://www.ilo.org/dyn/icsc/showcard.display?p_lang=fr&p_card_id=0079&p_version=2;https://da.gd/kPyM4
